id,Geo Point_1,Geo Point_2,CLAVE
0,19.44295493,-99.20993571,16
1,19.44663191,-99.17951106,16
2,19.32340272,-99.16546761,3
3,19.30460427,-99.16776172,3
4,19.31122389,-99.16964786,3
5,19.42230395,-99.09721476,17
6,19.40713015,-99.11813136,17
7,19.33611725,-99.18261021,3
8,19.4337174,-99.20482319,16
9,19.32396792,-99.15061767,3
10,19.34379685,-99.18368209,3
11,19.42869186,-99.06087577,17
12,19.4164747,-99.0833042,17
13,19.34260153,-99.16344131,3
14,19.31827302,-99.14097088,3
15,19.30236018,-99.10905061,3
16,19.31922947,-99.1286608,3
17,19.31380522,-99.11311112,3
18,19.48340133,-99.1008832,5
19,19.5370256,-99.13434123,5
20,19.46048775,-99.12046074,5
21,19.47377325,-99.1240193,5
22,19.56242444,-99.13808597,5
23,19.47117342,-99.09762378,5
24,19.50636949,-99.1340096,5
25,19.48073363,-99.09512491,5
26,19.46806776,-99.12030287,5
27,19.4719076,-99.14099631,5
28,19.47170154,-99.06406669,5
29,19.45275557,-99.1044432,5
30,19.45377075,-99.09978246,5
31,19.55773198,-99.14663964,5
32,19.47514176,-99.12817434,5
33,19.49759169,-99.06856221,5
34,19.23454621,-99.18334977,12
35,19.26882284,-99.15286617,12
36,19.28779362,-99.17048664,12
37,19.2594963,-99.18616858,12
38,19.30180481,-99.1371575,12
39,19.29700321,-99.14094521,12
40,19.26517024,-99.20049991,12
41,19.26598086,-99.11934486,13
42,19.30043583,-99.12327136,12
43,19.28632626,-99.13516004,12
44,19.20035753,-99.00259856,9
45,19.19438019,-99.01240848,9
46,19.5389703,-99.15012869,5
47,19.28501231,-99.13886899,12
48,19.25787607,-99.08661695,13
49,19.25239605,-99.11615351,13
50,19.28175371,-99.18571957,12
51,19.28562708,-99.15006676,12
52,19.40037105,-99.11474035,6
53,19.47688161,-99.21066958,2
54,19.51036343,-99.19414605,2
55,19.49951861,-99.20064224,2
56,19.48016407,-99.19137659,2
57,19.47837175,-99.15107644,2
58,19.45864458,-99.15636867,15
59,19.40719629,-99.13106297,15
60,19.30852744,-99.00231748,11
61,19.27026147,-99.00996301,11
62,19.47277743,-99.18419199,2
63,19.3892631,-99.23189572,10
64,19.32515869,-99.28918805,10
65,19.32149089,-99.26518737,10
66,19.33165707,-99.25284101,10
67,19.36096057,-99.2476689,10
68,19.38116507,-99.24548539,10
69,19.48067552,-99.2163596,2
70,19.36238586,-99.23107741,10
71,19.37155519,-99.20652366,10
72,19.40381422,-99.11636231,6
73,19.38924615,-99.1003711,6
74,19.38903077,-99.11078832,6
75,19.37642269,-99.21707413,10
76,19.37892406,-99.25131091,10
77,19.38055229,-99.23707124,10
78,19.3830771,-99.20689549,10
79,19.43677071,-99.12845231,15
80,19.33747353,-99.0289387,7
81,19.37635233,-99.10035241,7
82,19.36557804,-99.08479549,7
83,19.32046481,-99.03439569,7
84,19.32859124,-99.0866039,7
85,19.36123617,-99.13229612,7
86,19.33696868,-98.97712218,7
87,19.32115318,-99.04818325,7
88,19.31235058,-99.07127466,7
89,19.3750936,-99.10654197,7
90,19.32905123,-99.08749201,7
91,19.35355053,-98.99743024,7
92,19.36109796,-99.07105241,7
93,19.35222272,-99.0080836,7
94,19.37449939,-99.13418588,7
95,19.45472206,-99.19980724,16
96,19.38766464,-99.25700916,4
97,19.37807799,-99.27301732,4
98,19.33926113,-99.32310574,4
99,19.3566633,-99.29865168,4
100,19.31331869,-99.22445985,8
101,19.31212349,-99.23206783,8
102,19.32694484,-99.24452923,8
103,19.29305704,-99.25707216,8
104,19.33003614,-98.97828385,7
105,19.3406264,-99.02287998,7
106,19.34948103,-99.08248553,7
107,19.3901661,-99.13566066,14
108,19.36493374,-99.18032286,14
109,19.38339041,-99.1800637,14
110,19.38979443,-99.14452998,14
111,19.31961593,-99.07334411,7
112,19.45491263,-99.14808513,15
113,19.35680395,-99.06194541,7
114,19.41191515,-99.15184584,15
115,19.45551896,-99.20702129,16
116,19.46418158,-99.10582889,5
117,19.48731888,-99.1377348,5
118,19.48515631,-99.19999364,2
119,19.48908763,-99.18799811,2
120,19.28000278,-99.20676984,12
121,19.28868607,-99.17718842,12
122,19.2894944,-99.14311311,12
123,19.29932955,-99.11780521,12
124,19.50339965,-99.09767941,5
125,19.4933071,-99.08936996,5
126,19.46916109,-99.08338663,5
127,19.48388557,-99.1136013,5
128,19.52638986,-99.16543056,5
129,19.55777778,-99.14410624,5
130,19.5133274,-99.1371192,5
131,19.50934875,-99.10852314,5
132,19.46987143,-99.06391231,5
133,19.25601148,-99.0143001,13
134,19.26337122,-99.13363601,13
135,19.27155655,-99.11673139,13
136,19.24949118,-99.02282269,13
137,19.2807278,-99.17867596,12
138,19.13347237,-99.17388714,12
139,19.29288407,-99.13323072,12
140,19.27184483,-99.17576986,12
141,19.27582385,-99.18756129,12
142,19.22904169,-99.14806396,13
143,19.2967188,-99.10629454,12
144,19.46611636,-99.09941561,5
145,19.45245498,-99.09595673,5
146,19.45702272,-99.10880453,5
147,19.29298628,-99.12238521,12
148,19.28096137,-99.16446837,12
149,19.19767766,-99.15132056,12
150,19.29688606,-99.10434946,12
151,19.39620002,-99.11635341,6
152,19.39343582,-99.08533624,6
153,19.35265589,-99.22008194,10
154,19.35046056,-99.20244532,10
155,19.50520577,-99.18625628,2
156,19.48315797,-99.19153388,2
157,19.48117651,-99.18631238,2
158,19.31124297,-99.04198603,11
159,19.29996817,-99.06281989,11
160,19.32150551,-98.96248647,11
161,19.39599209,-99.07680785,6
162,19.39419693,-99.12927712,6
163,19.38834995,-99.10662839,6
164,19.34714001,-99.25403638,10
165,19.36169164,-99.23784763,10
166,19.36296862,-99.23496321,10
167,19.3913132,-99.20034831,10
168,19.38051777,-99.20854223,10
169,19.39284298,-99.19722623,10
170,19.51228943,-99.20146272,2
171,19.51099716,-99.20753835,2
172,19.49869909,-99.17680641,2
173,19.48561726,-99.17680641,2
174,19.47502599,-99.1897163,2
175,19.35707246,-99.18035738,10
176,19.37878599,-99.23970563,10
177,19.32113692,-99.26266707,10
178,19.36483505,-99.20278776,10
179,19.34650074,-99.23585241,10
180,19.33560954,-99.21758496,10
181,19.46169402,-99.14878454,15
182,19.35596054,-99.24245673,10
183,19.35166103,-99.23409828,10
184,19.39202764,-99.19295312,10
185,19.37940029,-99.25593476,10
186,19.3784996,-99.24414194,10
187,19.34039524,-99.23871412,10
188,19.32999773,-99.24898251,10
189,19.34366366,-99.00314572,7
190,19.35653901,-99.06775554,7
191,19.33111273,-99.05359031,7
192,19.35746788,-99.06375564,7
193,19.34350085,-99.06349335,7
194,19.45295876,-99.15814211,15
195,19.29173178,-99.07304843,7
196,19.3326802,-99.09900363,7
197,19.3363639,-99.09778121,7
198,19.36357254,-99.10719495,7
199,19.35884778,-99.07499835,7
200,19.32796075,-99.07190078,7
201,19.35893951,-99.08907677,7
202,19.36435722,-99.02118975,7
203,19.29077227,-99.07509338,7
204,19.339292,-99.09815833,7
205,19.33986113,-99.10470811,7
206,19.34783494,-99.11496255,7
207,19.33417363,-99.08064083,7
208,19.34552755,-98.98867131,7
209,19.35925498,-99.03265145,7
210,19.34941527,-99.01395555,7
211,19.32481338,-99.02104044,7
212,19.31360468,-99.32243106,4
213,19.36165001,-99.28342743,4
214,19.31083617,-99.33584484,4
215,19.28126055,-99.25547399,8
216,19.30435278,-99.25313276,8
217,19.33108329,-99.21218356,8
218,19.31258519,-99.23660747,8
219,19.31274108,-99.25341588,8
220,19.37097091,-99.17207738,14
221,19.36048168,-99.15877254,14
222,19.36651197,-99.1854669,14
223,19.38230008,-99.16726947,14
224,19.44587528,-99.18445566,16
225,19.46280126,-99.18936683,16
226,19.42918328,-99.19687235,16
227,19.40510322,-99.19903505,16
228,19.43724371,-99.2099709,16
229,19.45560302,-99.17345353,16
230,19.4677596,-99.19680556,16
231,19.45635861,-99.18709187,16
232,19.40060325,-99.1878812,16
233,19.34066905,-99.14617522,3
234,19.30289905,-99.11215208,3
235,19.32776851,-99.11859705,3
236,19.3138766,-99.12694288,3
237,19.30677549,-99.17441314,3
238,19.41305231,-99.12314279,17
239,19.42874741,-99.06815093,17
240,19.42030271,-99.12375985,17
